id	text	labels	labels_phrases	original_text
29	Die Sake-Liste war umfangreich, aber wir suchten nach Purple Haze, das nicht auf der Liste stand, aber auf Anfrage für uns hergestellt wurde!	['(DRINKS#STYLE_OPTIONS, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']	"['(DRINKS#STYLE_OPTIONS, POSITIVE, ""Sake-Liste"")', '(SERVICE#GENERAL, POSITIVE, ""NULL"")']"	Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!
30	Die würzige Thunfischrolle war ungewöhnlich gut und die Felsengarnelen-Tempura war fantastisch, eine tolle Vorspeise zum Teilen!	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""pikante Thunfischrolle"")', '(FOOD#QUALITY, POSITIVE, ""Felsengarnelen-Tempura"")']"	The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!
31	Wir waren gegen 9:30 Uhr an einem Freitag dort, und es war schon etwas ruhiger geworden, so dass der Service großartig war!	['(SERVICE#GENERAL, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""Dienstleistung"")']"	We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
32	Wir lieben das rosa Pony.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""rosa Pony"")']"	we love th pink pony.
33	Der perfekte Ort.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Punkt"")']"	THe perfect spot.
34	Tolles Essen.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Lebensmittel"")']"	Food-awesome.
35	Service - freundlich und aufmerksam.	['(SERVICE#GENERAL, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""Dienst"")']"	Service- friendly and attentive.
36	Das Ambiente - entspannt und stilvoll.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""Ambiente"")']"	Ambiance- relaxed and stylish.
37	Beurteilen Sie diesen Ort nicht auf den ersten Blick, Sie müssen ihn ausprobieren, um es zu glauben, ein Zuhause fern von zu Hause für das gebildete Herz.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Ort"")']"	Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.
38	das Essen ist anständig.	['(FOOD#QUALITY, NEUTRAL)']	"['(FOOD#QUALITY, NEUTRAL, ""Lebensmittel"")']"	the food is decent.
39	Es ist jedoch der Service, der einen schlechten Geschmack in meinem Mund hinterlässt.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""Dienstleistung"")']"	however, it's the service that leaves a bad taste in my mouth.
40	Ich habe zufällig einen Grundsatz, der mit ein wenig Selbstachtung einhergeht. Dazu gehört, dass ich mich von einem Kellner nicht einschüchtern lasse, d.h. dass ich mich schlecht fühle, wenn ich nach Kleinigkeiten wie Wasser oder der Rechnung frage.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""Kellner"")']"	i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.
41	Ich weiß, du warst zu sehr damit beschäftigt, dein altes T-Shirt zur Schau zu stellen und gelangweilt auszusehen, aber ich bin hier, um zu essen und die Gesellschaft von Freunden zu genießen, die eine angenehme Erfahrung suchen.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.
42	Nun, ich habe sie dort nicht gefunden, und glauben Sie mir, ich habe jedem, der mir einfällt, von meiner Erfahrung erzählt.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	well, i didn't find it there, and trust, i have told everyone i can think of about my experience. 
43	Als ich das letzte Mal vorbeikam, sah es ziemlich leer aus. Hmmm.	['(RESTAURANT#MISCELLANEOUS, NEGATIVE)']	"['(RESTAURANT#MISCELLANEOUS, NEGATIVE, ""NULL"")']"	the last time i walked by it looked pretty empty. hmmm.
44	Dieses Restaurant muss das beste japanische Restaurant in der Gegend von New York sein.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Ort"")']"	This place has got to be the best japanese restaurant in the new york area.
45	Ich hatte eine großartige Erfahrung.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I had a great experience.
46	Das Essen ist großartig.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Lebensmittel"")']"	Food is great.
47	Der Service ist erstklassig.	['(SERVICE#GENERAL, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""Dienst"")']"	Service is top notch.
48	Ich bin immer wieder zurückgekommen.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I have been going back again and again.
49	Ich neige dazu, ein Sushi-Restaurant nach seinem Seeigel zu beurteilen, der im Sushi Rose himmlisch war.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Seeigel"")']"	I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.
50	Er schmolz in meinem kleinen Mund und hatte die perfekte Konsistenz - nicht zu fischig, cremig und leicht buttrig.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""NULL"")']"	It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.
51	Das Sushi wirkte ziemlich frisch und war angemessen portioniert.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Sushi"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""Sushi"")']"	The sushi seemed pretty fresh and was adequately proportioned.
52	Das Verhältnis von Reis zu Fisch war ebenfalls gut - es wurde nicht versucht, den Reis zu überladen.	['(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#STYLE_OPTIONS, POSITIVE, ""Reis-Fisch-Verhältnis"")']"	The rice to fish ration was also good--they didn't try to overpack the rice.
53	Wir haben am Samstag das Sushi-Angebot zum halben Preis genutzt, und das hat sich gelohnt.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Sushi-Angebot zum halben Preis"")', '(FOOD#PRICES, POSITIVE, ""Sushi-Angebot zum halben Preis"")']"	We took advanatage of the half price sushi deal on saturday so it was well worth it.
54	Überraschenderweise könnte nichts weiter von der Wahrheit entfernt sein.	['(RESTAURANT#MISCELLANEOUS, POSITIVE)']	"['(RESTAURANT#MISCELLANEOUS, POSITIVE, ""NULL"")']"	Surprisingly nothing could be further from the truth.
55	Am Abend lockte dieses Lokal ein gut gekleidetes Publikum aus New York an, das sich dort aufhielt.	['(RESTAURANT#MISCELLANEOUS, POSITIVE)']	"['(RESTAURANT#MISCELLANEOUS, POSITIVE, ""Menge"")']"	In the evening, this place attracted a well dressed, with it, NY crowd.
56	Das Essen war gut zubereitet und der Service tadellos.	['(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Lebensmittel"")', '(SERVICE#GENERAL, POSITIVE, ""Dienstleistung"")']"	The food was well prepared and the service impecable.
57	Ich werde zurückgehen.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I'm going back.
58	Es ist ganz einfach so, als würde man Manhattan verlassen und eine Oase der Ruhe betreten.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""NULL"")']"	Quite simply it's like stepping out of Manhattan and into a haven of tranquility.
59	Das Prix-Fixe-Menü ist jeden Cent wert und man bekommt mehr als genug (sowohl in Quantität als auch in Qualität).	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Prix Fixe Menü"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""Prix Fixe Menü"")', '(FOOD#PRICES, POSITIVE, ""Prix Fixe Menü"")']"	The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
60	Ich werde wieder hingehen und kann es nur wärmstens empfehlen!	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I will be going back and heartily recommend it!
61	Es ist großartig, ebenso wie der Wert.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""NULL"")', '(FOOD#PRICES, POSITIVE, ""NULL"")']"	It is terrific, as is the value.
62	6 $ und es gibt viel leckeres Essen, alles frisch und immer wieder nachgefüllt.	['(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#STYLE_OPTIONS, POSITIVE, ""Lebensmittel"")', '(FOOD#QUALITY, POSITIVE, ""Lebensmittel"")', '(FOOD#PRICES, POSITIVE, ""Lebensmittel"")']"	$6 and there is much tasty food, all of it fresh and continually refilled.
63	Ich bin kein Vegetarier, aber fast alle Gerichte waren großartig.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Gerichte"")']"	I am not a vegetarian but, almost all the dishes were great.
64	Hungrig gehen und genießen.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	Go hungry and enjoy.
65	Das Essen hier ist ziemlich gut, aber nur, wenn man gerne darauf wartet.	['(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Lebensmittel"")', '(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	The food here is rather good, but only if you like to wait for it.
66	Ich mag die Somosas, Chai und die Chole, aber die Dhosas und Dhal waren etwas enttäuschend.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""somosas"")', '(FOOD#QUALITY, POSITIVE, ""Chai"")', '(FOOD#QUALITY, POSITIVE, ""chole"")', '(FOOD#QUALITY, NEGATIVE, ""dhosas"")', '(FOOD#QUALITY, NEGATIVE, ""Dhal"")']"	I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.
67	Der Service variiert von Tag zu Tag - manchmal sind sie sehr nett, manchmal nicht.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""Dienstleistung"")']"	The service varys from day to day- sometimes they're very nice, and sometimes not.
68	Die Küche ist jedoch fast immer langsam.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""Küche"")']"	The kitchen however, is almost always slow.
69	Geben Sie außerdem an, ob Sie Ihr Essen scharf mögen - wenn nicht, ist es eher fade.	['(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""Lebensmittel"")']"	Also, specify if you like your food spicy- its rather bland if you don't.
70	Das Ambiente ist hübsch und lädt zu Gesprächen ein, so dass sich ein zwangloses Mittagessen hier wohl am besten eignet.	['(AMBIENCE#GENERAL, POSITIVE)', '(RESTAURANT#MISCELLANEOUS, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""Ambiente"")', '(RESTAURANT#MISCELLANEOUS, POSITIVE, ""NULL"")']"	The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.
71	Wenn Sie schon einmal am Fluss in Weehawken waren, haben Sie eine Vorstellung davon, was für eine Aussicht das Kartenhaus zu bieten hat.	['(LOCATION#GENERAL, POSITIVE)']	"['(LOCATION#GENERAL, POSITIVE, ""siehe"")']"	If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.
72	Wenn man dann noch den guten Service und das gute Essen zu einem vernünftigen Preis hinzufügt, hat man schon den Anfang eines tollen Abends.	['(SERVICE#GENERAL, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""Dienstleistung"")', '(FOOD#QUALITY, POSITIVE, ""Lebensmittel"")', '(FOOD#PRICES, POSITIVE, ""Lebensmittel"")']"	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
74	Sobald Sie das Cosette betreten, befinden Sie sich auf wundersame Weise in einem kleinen, abgelegenen Pariser Bistro.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""Cosette"")']"	Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.
75	Dieses winzige Restaurant ist so gemütlich wie nur möglich, mit dem gewissen Pariser Flair.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""Restaurant"")']"	This tiny restaurant is as cozy as it gets, with that certain Parisian flair.
76	Das Essen war durchschnittlich bis überdurchschnittlich; die französische Zwiebelsuppe war sättigend, aber nicht übermäßig beeindruckend, und die Desserts waren in keiner Weise brillant.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Lebensmittel"")', '(FOOD#QUALITY, NEGATIVE, ""Französische Zwiebelsuppe"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""Französische Zwiebelsuppe"")', '(FOOD#QUALITY, NEGATIVE, ""Desserts"")']"	The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.
77	Doch lassen Sie sich vom Ambiente verzaubern und betrachten Sie das Essen als Begleiter für eine Reise durch die Welt!	['(AMBIENCE#GENERAL, POSITIVE)', '(FOOD#QUALITY, NEUTRAL)']	"['(AMBIENCE#GENERAL, POSITIVE, ""Ambiente"")', '(FOOD#QUALITY, NEUTRAL, ""Lebensmittel"")']"	However, go for the ambience, and consider the food just a companion for a trip across the world!
78	ES WAR FURCHTBAR.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	IT WAS HORRIBLE.
79	Die Pizza wurde kalt geliefert und der Käse war nicht einmal ganz geschmolzen!	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""pizza"")', '(FOOD#QUALITY, NEGATIVE, ""Käse"")']"	The pizza was delivered cold and the cheese wasn't even fully melted!
80	Es sah aus wie geschredderter Käse, der teilweise fertig war - noch in Streifen.	['(FOOD#STYLE_OPTIONS, NEGATIVE)']	"['(FOOD#STYLE_OPTIONS, NEGATIVE, ""NULL"")']"	It looked like shredded cheese partly done - still in strips.
81	Dies ist wohl eines der am meisten überschätzten Restaurants in Brooklyn.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	This has got to be one of the most overrated restaurants in Brooklyn.
82	Die Pizza ist überteuert und matschig.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#PRICES, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""pizza"")', '(FOOD#PRICES, NEGATIVE, ""pizza"")']"	The pizza is overpriced and soggy.
83	Ja, sie verwenden ausgefallene Zutaten, aber auch ausgefallene Zutaten ergeben keine gute Pizza, wenn man nicht weiß, wie man die Kruste richtig macht.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Inhaltsstoffe"")', '(FOOD#QUALITY, NEGATIVE, ""pizza"")', '(FOOD#QUALITY, NEGATIVE, ""Kruste"")']"	Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.
84	Eine große Enttäuschung, rundum.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	A big disappointment, all around.
85	Ich glaube, ich habe einige der besten Mahlzeiten meines Lebens im Minnow gegessen.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Mahlzeiten"")']"	I think I've had some the best meals of my life at minnow.
86	Die Meeresfrüchte sind fantastisch, es gibt eine gute Weinkarte und die ständig wechselnde Speisekarte bietet immer wieder tolle Überraschungen.	['(FOOD#QUALITY, POSITIVE)', '(DRINKS#STYLE_OPTIONS, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Meeresfrüchte"")', '(DRINKS#STYLE_OPTIONS, POSITIVE, ""Weinkarte"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""Menü"")']"	The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.
87	Die Kombination von superfrischen Zutaten in den Gerichten ist ungewöhnlich, aber wirklich lecker.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Inhaltsstoffe"")']"	The combination of super-fresh ingredients in the dishes are unusual but really delicious.
88	Die Reise von Manhattan lohnt sich.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	Worth the trip from Manhattan.
