id	text	labels	labels_phrases	original_text
10	Por el precio, no se puede comer tan bien en Manhattan.	['(RESTAURANT#PRICES, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']	"['(RESTAURANT#PRICES, POSITIVE, ""NULL"")', '(FOOD#QUALITY, POSITIVE, ""NULL"")']"	For the price, you cannot eat this well in Manhattan.
11	Me decepcionó mucho este restaurante.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""restaurante"")']"	I was very disappointed with this restaurant.
12	He pedido un arroz envuelto en hojas de loto a una vendedora de carritos y me ha contestado que arroz y se ha ido.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""encargado de carrito"")']"	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
13	Tuve que pedírselo tres veces antes de que finalmente volviera con el plato que le había pedido.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	I had to ask her three times before she finally came back with the dish Ive requested.
14	La comida estaba bien, nada del otro mundo.	['(FOOD#QUALITY, NEUTRAL)']	"['(FOOD#QUALITY, NEUTRAL, ""Alimentación"")']"	Food was okay, nothing great.
15	El chow fun estaba seco; el shu mai de cerdo estaba más grasiento de lo habitual y tuve que compartir mesa con una familia ruidosa y maleducada.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)', '(RESTAURANT#MISCELLANEOUS, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""Chow fun"")', '(FOOD#QUALITY, NEGATIVE, ""shu mai de cerdo"")', '(RESTAURANT#MISCELLANEOUS, NEGATIVE, ""NULL"")']"	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
16	Nunca más volveré a este sitio.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""lugar"")']"	I/we will never go back to this place again.
17	Me di un atracón de ostras de 3 días, con Fish como colofón, y estoy tan contenta de que este fuera el lugar donde terminó el viaje, ¡porque fue genial!	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Pescado"")']"	Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!
18	¡¡¡El servicio era devino, ostras donde un sensual como vienen, y el precio no puede ser vencido!!!	['(SERVICE#GENERAL, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(RESTAURANT#PRICES, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""Servicio"")', '(FOOD#QUALITY, POSITIVE, ""ostras"")', '(RESTAURANT#PRICES, POSITIVE, ""NULL"")']"	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!
19	Aquí no te equivocarás.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	You can't go wrong here.
20	Cada vez que voy a Nueva York, no dejo de visitar el restaurante Saul, en Smith Street.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Restaurante Saul"")']"	Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
21	Todo está siempre cocinado a la perfección, el servicio es excelente, la decoración fresca y discreta.	['(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)', '(AMBIENCE#GENERAL, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""NULL"")', '(SERVICE#GENERAL, POSITIVE, ""servicio"")', '(AMBIENCE#GENERAL, POSITIVE, ""decoración"")']"	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.
22	En mi última visita tomé el especial de magret de pato y estaba increíble.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""especial pechuga de pato"")']"	I had the duck breast special on my last visit and it was incredible.
23	No puedo esperar a mi próxima visita.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	Can't wait wait for my next visit.
24	Y odio decir esto pero dudo que alguna vez vuelva.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	And I hate to say this but I doubt I'll ever go back. 
25	La comida es muy normal... la fusión tailandesa es demasiado dulce, todo lo que sirven aquí es demasiado dulce.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""alimentos"")', '(FOOD#QUALITY, NEGATIVE, ""Cosas de fusión tailandesa"")', '(FOOD#QUALITY, NEGATIVE, ""NULL"")']"	The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.
26	Lo único que me gustó moderadamente fue su especial de pollo a la parrilla con puré de edamame.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Especial de pollo a la parrilla con puré de edamame"")']"	The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
27	Nunca había probado el puré de Edamame, pero me pareció innovador y sabroso (podría haberle puesto un poco más de sal).	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Puré de edamame"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""Puré de edamame"")']"	I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
28	La decoración es nocturna... pero REALMENTE necesitan limpiar esa rejilla de ventilación en el techo... es bastante poco apetecible, y mata su esfuerzo por hacer que este lugar parezca elegante y moderno.	['(AMBIENCE#GENERAL, NEGATIVE)', '(AMBIENCE#GENERAL, POSITIVE)', '(AMBIENCE#GENERAL, NEGATIVE)']	"['(AMBIENCE#GENERAL, NEGATIVE, ""lugar"")', '(AMBIENCE#GENERAL, POSITIVE, ""decoración"")', '(AMBIENCE#GENERAL, NEGATIVE, ""ventilación"")']"	The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.
29	Su lista de sake era extensa, pero nosotros buscábamos Purple Haze, que no estaba en la lista pero que nos prepararon a petición.	['(DRINKS#STYLE_OPTIONS, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']	"['(DRINKS#STYLE_OPTIONS, POSITIVE, ""lista de sake"")', '(SERVICE#GENERAL, POSITIVE, ""NULL"")']"	Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!
30	¡El rollo de atún picante era inusualmente bueno y la tempura de camarones de roca era impresionante, gran aperitivo para compartir!	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""rollo de atún picante"")', '(FOOD#QUALITY, POSITIVE, ""tempura de gambas"")']"	The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!
31	Fuimos sobre las 9:30 de un viernes y ya se había calmado un poco, así que el servicio fue estupendo.	['(SERVICE#GENERAL, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""servicio"")']"	We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
32	nos encanta el pony rosa.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""poni rosa"")']"	we love th pink pony.
33	El lugar perfecto.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""spot"")']"	THe perfect spot.
34	Alucinante.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Alimentación"")']"	Food-awesome.
35	Servicio amable y atento.	['(SERVICE#GENERAL, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""Servicio"")']"	Service- friendly and attentive.
36	Ambiente relajado y elegante.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""Ambiente"")']"	Ambiance- relaxed and stylish.
37	No juzgue este lugar prima facie, tiene que probarlo para creerlo, un hogar lejos del hogar para el corazón literato.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""lugar"")']"	Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.
38	la comida es decente.	['(FOOD#QUALITY, NEUTRAL)']	"['(FOOD#QUALITY, NEUTRAL, ""alimentos"")']"	the food is decent.
39	sin embargo, es el servicio lo que me deja mal sabor de boca.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""servicio"")']"	however, it's the service that leaves a bad taste in my mouth.
40	resulta que tengo una política que va unida a un poco de amor propio, que incluye no dejar que un camarero me intimide, es decir, que me haga sentir mal pidiendo trivialidades como agua, o la cuenta.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""camarero"")']"	i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.
41	lo sé, estabas demasiado ocupado enseñando tu camiseta vintage y con cara de aburrido, pero mi agenda es que estoy aquí para comer y disfrutar de la compañía de amigos, buscando una experiencia agradable.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.
42	bueno, yo no lo encontre alli, y créeme, le he contado mi experiencia a todo el mundo que se me ha ocurrido.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	well, i didn't find it there, and trust, i have told everyone i can think of about my experience. 
43	la última vez que pasé por allí parecía bastante vacío. hmmm.	['(RESTAURANT#MISCELLANEOUS, NEGATIVE)']	"['(RESTAURANT#MISCELLANEOUS, NEGATIVE, ""NULL"")']"	the last time i walked by it looked pretty empty. hmmm.
44	Este lugar tiene que ser el mejor restaurante japonés en el área de Nueva York.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""lugar"")']"	This place has got to be the best japanese restaurant in the new york area.
45	Tuve una gran experiencia.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I had a great experience.
46	La comida es estupenda.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Alimentación"")']"	Food is great.
47	El servicio es de primera.	['(SERVICE#GENERAL, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""Servicio"")']"	Service is top notch.
48	He vuelto una y otra vez.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I have been going back again and again.
49	Tiendo a juzgar un restaurante de sushi por su erizo de mar, que era celestial en sushi rose.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""erizo de mar"")']"	I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.
50	Se deshacía en mi boquita y tenía la consistencia perfecta: no demasiado a pescado, cremosa y ligeramente mantecosa.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""NULL"")']"	It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.
51	El sushi parecía bastante fresco y estaba adecuadamente proporcionado.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""sushi"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""sushi"")']"	The sushi seemed pretty fresh and was adequately proportioned.
52	La proporción de arroz y pescado también era buena, no trataron de poner demasiado arroz.	['(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#STYLE_OPTIONS, POSITIVE, ""ración de arroz y pescado"")']"	The rice to fish ration was also good--they didn't try to overpack the rice.
53	Aprovechamos la oferta de sushi a mitad de precio del sábado, así que mereció la pena.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""sushi a mitad de precio"")', '(FOOD#PRICES, POSITIVE, ""sushi a mitad de precio"")']"	We took advanatage of the half price sushi deal on saturday so it was well worth it.
54	Sorprendentemente, nada más lejos de la realidad.	['(RESTAURANT#MISCELLANEOUS, POSITIVE)']	"['(RESTAURANT#MISCELLANEOUS, POSITIVE, ""NULL"")']"	Surprisingly nothing could be further from the truth.
55	Por la noche, este lugar atraía a una multitud bien vestida, con ella, de NY.	['(RESTAURANT#MISCELLANEOUS, POSITIVE)']	"['(RESTAURANT#MISCELLANEOUS, POSITIVE, ""multitud"")']"	In the evening, this place attracted a well dressed, with it, NY crowd.
56	La comida estaba bien preparada y el servicio impecable.	['(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""alimentos"")', '(SERVICE#GENERAL, POSITIVE, ""servicio"")']"	The food was well prepared and the service impecable.
57	Voy a volver.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I'm going back.
58	Es como salir de Manhattan y entrar en un remanso de tranquilidad.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""NULL"")']"	Quite simply it's like stepping out of Manhattan and into a haven of tranquility.
59	El menú Prix Fixe vale cada céntimo y tienes más que suficiente (tanto en cantidad COMO en calidad).	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Menú Prix Fixe"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""Menú Prix Fixe"")', '(FOOD#PRICES, POSITIVE, ""Menú Prix Fixe"")']"	The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
60	Volveré y lo recomiendo encarecidamente.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I will be going back and heartily recommend it!
61	Es estupendo, al igual que su valor.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""NULL"")', '(FOOD#PRICES, POSITIVE, ""NULL"")']"	It is terrific, as is the value.
62	$6 y hay mucha comida sabrosa, toda ella fresca y continuamente reabastecida.	['(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#STYLE_OPTIONS, POSITIVE, ""alimentos"")', '(FOOD#QUALITY, POSITIVE, ""alimentos"")', '(FOOD#PRICES, POSITIVE, ""alimentos"")']"	$6 and there is much tasty food, all of it fresh and continually refilled.
63	No soy vegetariana, pero casi todos los platos estaban buenísimos.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""platos"")']"	I am not a vegetarian but, almost all the dishes were great.
64	Ve con hambre y disfruta.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	Go hungry and enjoy.
65	La comida aquí es bastante buena, pero sólo si te gusta esperar.	['(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""alimentos"")', '(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	The food here is rather good, but only if you like to wait for it.
66	Me gustaron las somosas, el chai y el chole, pero las dhosas y el dhal me decepcionaron un poco.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""somosas"")', '(FOOD#QUALITY, POSITIVE, ""chai"")', '(FOOD#QUALITY, POSITIVE, ""chole"")', '(FOOD#QUALITY, NEGATIVE, ""dhosas"")', '(FOOD#QUALITY, NEGATIVE, ""dhal"")']"	I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.
67	El servicio varía de un día a otro: a veces son muy amables y a veces no.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""servicio"")']"	The service varys from day to day- sometimes they're very nice, and sometimes not.
68	La cocina, sin embargo, es casi siempre lenta.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""cocina"")']"	The kitchen however, is almost always slow.
69	Además, especifique si le gusta la comida picante; si no, es bastante sosa.	['(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""alimentos"")']"	Also, specify if you like your food spicy- its rather bland if you don't.
70	El ambiente es bonito y agradable para conversar, por lo que un almuerzo informal aquí probablemente sería lo mejor.	['(AMBIENCE#GENERAL, POSITIVE)', '(RESTAURANT#MISCELLANEOUS, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""ambiente"")', '(RESTAURANT#MISCELLANEOUS, POSITIVE, ""NULL"")']"	The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.
71	Si alguna vez has estado a lo largo del río en Weehawken usted tiene una idea de la parte superior de la vista de la casa de la carta tiene que ofrecer.	['(LOCATION#GENERAL, POSITIVE)']	"['(LOCATION#GENERAL, POSITIVE, ""ver"")']"	If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.
72	Si a eso le añadimos un gran servicio y una comida estupenda a un precio razonable, ya tenemos el comienzo de una gran velada.	['(SERVICE#GENERAL, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""servicio"")', '(FOOD#QUALITY, POSITIVE, ""alimentos"")', '(FOOD#PRICES, POSITIVE, ""alimentos"")']"	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
74	Una vez que entras en Cosette, te encuentras milagrosamente en un pequeño bistró parisino fuera de lo común.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""Cosette"")']"	Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.
75	Este pequeño restaurante es de lo más acogedor, con un cierto aire parisino.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""restaurante"")']"	This tiny restaurant is as cozy as it gets, with that certain Parisian flair.
76	La comida estuvo entre regular y por encima de la media; la sopa de cebolla francesa llenó pero no impresionó demasiado, y los postres no brillaron en absoluto.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""alimentos"")', '(FOOD#QUALITY, NEGATIVE, ""Sopa de cebolla francesa"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""Sopa de cebolla francesa"")', '(FOOD#QUALITY, NEGATIVE, ""postres"")']"	The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.
77	Sin embargo, lo mejor es disfrutar del ambiente y considerar la comida como un simple acompañante en un viaje a través del mundo.	['(AMBIENCE#GENERAL, POSITIVE)', '(FOOD#QUALITY, NEUTRAL)']	"['(AMBIENCE#GENERAL, POSITIVE, ""ambiente"")', '(FOOD#QUALITY, NEUTRAL, ""alimentos"")']"	However, go for the ambience, and consider the food just a companion for a trip across the world!
78	FUE HORRIBLE.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	IT WAS HORRIBLE.
79	La pizza se entregó fría y el queso ni siquiera se había derretido del todo.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""pizza"")', '(FOOD#QUALITY, NEGATIVE, ""queso"")']"	The pizza was delivered cold and the cheese wasn't even fully melted!
80	Parecía queso rallado parcialmente hecho - todavía en tiras.	['(FOOD#STYLE_OPTIONS, NEGATIVE)']	"['(FOOD#STYLE_OPTIONS, NEGATIVE, ""NULL"")']"	It looked like shredded cheese partly done - still in strips.
81	Este tiene que ser uno de los restaurantes más sobrevalorados de Brooklyn.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	This has got to be one of the most overrated restaurants in Brooklyn.
82	La pizza tiene un precio excesivo y está empapada.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#PRICES, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""pizza"")', '(FOOD#PRICES, NEGATIVE, ""pizza"")']"	The pizza is overpriced and soggy.
83	Sí, utilizan ingredientes de lujo, pero ni siquiera los ingredientes de lujo hacen una buena pizza a menos que alguien sepa hacer bien la masa.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""ingredientes"")', '(FOOD#QUALITY, NEGATIVE, ""pizza"")', '(FOOD#QUALITY, NEGATIVE, ""corteza"")']"	Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.
84	Una gran decepción, en general.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	A big disappointment, all around.
85	Creo que he tenido algunas de las mejores comidas de mi vida en Minnow.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""comidas"")']"	I think I've had some the best meals of my life at minnow.
86	El marisco es increíble, hay una buena carta de vinos y el menú, siempre cambiante, ofrece grandes sorpresas.	['(FOOD#QUALITY, POSITIVE)', '(DRINKS#STYLE_OPTIONS, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""marisco"")', '(DRINKS#STYLE_OPTIONS, POSITIVE, ""lista de vinos"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""menú"")']"	The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.
87	La combinación de ingredientes súper frescos en los platos es inusual pero realmente deliciosa.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""ingredientes"")']"	The combination of super-fresh ingredients in the dishes are unusual but really delicious.
88	Merece la pena el viaje desde Manhattan.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	Worth the trip from Manhattan.
89	El mejor pastrami que he probado y una gran ración sin ser ridícula.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Pastrami"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""porción"")']"	Best Pastrami I ever had and great portion without being ridiculous.
90	Mi mujer pidió las gambas fritas que son enormes y le encantaron.	['(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']	"['(FOOD#STYLE_OPTIONS, POSITIVE, ""gambas fritas"")', '(FOOD#QUALITY, POSITIVE, ""gambas fritas"")']"	My wife had the fried shrimp which are huge and loved it.
91	Como japonesa de nacimiento, he vivido en la zona de Tristate durante más de 8 años, pero este lugar me sorprendió muchísimo.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""lugar"")']"	As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.
92	Este lugar es lo más japonés que puede llegar a ser.	['(RESTAURANT#MISCELLANEOUS, POSITIVE)']	"['(RESTAURANT#MISCELLANEOUS, POSITIVE, ""lugar"")']"	This place is the most Japanese it can ever get.
93	Los carteles, los menús especiales, la comida e incluso los camareros son TODOS TOTALMENTE japoneses.	['(RESTAURANT#MISCELLANEOUS, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']	"['(RESTAURANT#MISCELLANEOUS, POSITIVE, ""signos"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""menús especiales"")', '(FOOD#QUALITY, POSITIVE, ""alimentos"")', '(SERVICE#GENERAL, POSITIVE, ""camareros"")']"	The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.
94	Merece la pena conducir una hora hasta este lugar.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""lugar"")']"	This place is worth an one-hour drive.
