id	text	labels	labels_phrases	original_text
15	Le Chow fun était sec ; le porc shu mai était plus gras que d'habitude et j'ai dû partager une table avec une famille bruyante et impolie.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)', '(RESTAURANT#MISCELLANEOUS, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""Le plaisir du chow"")', '(FOOD#QUALITY, NEGATIVE, ""porc shu mai"")', '(RESTAURANT#MISCELLANEOUS, NEGATIVE, ""NULL"")']"	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
16	Je ne retournerai (nous ne retournerons) plus jamais dans cet endroit.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""lieu"")']"	I/we will never go back to this place again.
17	J'ai fait une cure d'huîtres de 3 jours, avec le poisson qui a clôturé le voyage, et je suis tellement contente que ce soit là que le voyage s'est terminé, parce que c'était vraiment génial !	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Poisson"")']"	Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!
18	Le service était divin, les huîtres aussi sensuelles que possible, et le prix ne peut être battu !	['(SERVICE#GENERAL, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(RESTAURANT#PRICES, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""Service"")', '(FOOD#QUALITY, POSITIVE, ""huîtres"")', '(RESTAURANT#PRICES, POSITIVE, ""NULL"")']"	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!
19	Vous ne pouvez pas vous tromper.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	You can't go wrong here.
20	Chaque fois que je suis à New York, je me fais un devoir de visiter le restaurant Saul sur Smith Street.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Restaurant Saul"")']"	Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
21	Tout est toujours cuisiné à la perfection, le service est excellent, le décor est frais et discret.	['(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)', '(AMBIENCE#GENERAL, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""NULL"")', '(SERVICE#GENERAL, POSITIVE, ""service"")', '(AMBIENCE#GENERAL, POSITIVE, ""décor"")']"	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.
22	Lors de ma dernière visite, j'ai dégusté le magret de canard et c'était incroyable.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Spécial magret de canard"")']"	I had the duck breast special on my last visit and it was incredible.
23	J'attends avec impatience ma prochaine visite.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	Can't wait wait for my next visit.
24	Et je n'aime pas dire cela, mais je ne pense pas que je reviendrai un jour.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	And I hate to say this but I doubt I'll ever go back. 
25	La nourriture est très moyenne... la cuisine fusion thaïlandaise est un peu trop sucrée, tout ce qu'ils servent est trop sucré ici.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""nourriture"")', '(FOOD#QUALITY, NEGATIVE, ""Fusion thaïlandaise"")', '(FOOD#QUALITY, NEGATIVE, ""NULL"")']"	The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.
26	La seule chose que j'ai moyennement appréciée est le poulet grillé avec purée d'edamame.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Spécialité de poulet grillé avec purée d\'edamame"")']"	The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
27	Je n'avais jamais mangé d'Edamame en purée auparavant, mais j'ai trouvé cela innovant et savoureux (j'aurais pu utiliser un peu plus de sel).	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Edamame en purée"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""Edamame en purée"")']"	I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
28	Le décor est sympa, mais il faut VRAIMENT nettoyer cette bouche d'aération au plafond... c'est assez peu appétissant, et ça ruine vos efforts pour donner à cet endroit un aspect élégant et moderne.	['(AMBIENCE#GENERAL, NEGATIVE)', '(AMBIENCE#GENERAL, POSITIVE)', '(AMBIENCE#GENERAL, NEGATIVE)']	"['(AMBIENCE#GENERAL, NEGATIVE, ""lieu"")', '(AMBIENCE#GENERAL, POSITIVE, ""décor"")', '(AMBIENCE#GENERAL, NEGATIVE, ""évent"")']"	The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.
29	La liste des sakés est longue, mais nous recherchions le Purple Haze, qui ne figurait pas sur la liste, mais qui a été préparé pour nous sur demande !	['(DRINKS#STYLE_OPTIONS, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']	"['(DRINKS#STYLE_OPTIONS, POSITIVE, ""Liste des sakés"")', '(SERVICE#GENERAL, POSITIVE, ""NULL"")']"	Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!
30	Le rouleau de thon épicé était exceptionnellement bon et le tempura de crevettes de roche était impressionnant, une excellente entrée à partager !	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""rouleau au thon épicé"")', '(FOOD#QUALITY, POSITIVE, ""crevettes roses tempura"")']"	The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!
31	Nous y sommes allés vers 21h30 un vendredi et la foule s'était un peu calmée à ce moment-là, ce qui fait que le service était excellent !	['(SERVICE#GENERAL, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""service"")']"	We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
32	nous aimons le poney rose.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""poney rose"")']"	we love th pink pony.
33	L'endroit idéal.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""point"")']"	THe perfect spot.
34	La nourriture, c'est génial.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Alimentation"")']"	Food-awesome.
35	Service : amical et attentif.	['(SERVICE#GENERAL, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""Service"")']"	Service- friendly and attentive.
36	Ambiance : décontractée et élégante.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""Ambiance"")']"	Ambiance- relaxed and stylish.
37	Ne jugez pas cet endroit à première vue, il faut l'essayer pour le croire, une maison loin de chez soi pour les cœurs lettrés.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""lieu"")']"	Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.
38	la nourriture est décente.	['(FOOD#QUALITY, NEUTRAL)']	"['(FOOD#QUALITY, NEUTRAL, ""nourriture"")']"	the food is decent.
39	Cependant, c'est le service qui me laisse un mauvais goût dans la bouche.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""service"")']"	however, it's the service that leaves a bad taste in my mouth.
40	Il se trouve que j'ai une politique qui va de pair avec un peu de respect de soi, qui consiste à ne pas laisser un serveur m'intimider, c'est-à-dire me faire sentir mal à l'aise lorsque je demande des choses insignifiantes comme de l'eau ou l'addition.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""serveur"")']"	i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.
41	Je sais, vous étiez trop occupé à montrer votre tee-shirt vintage et à avoir l'air de vous ennuyer, mais je suis ici pour manger et profiter de la compagnie d'amis, à la recherche d'une expérience agréable.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.
42	Eh bien, je ne l'ai pas trouvé là, et croyez-moi, j'ai parlé de mon expérience à tous ceux que je connais.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	well, i didn't find it there, and trust, i have told everyone i can think of about my experience. 
43	la dernière fois que je suis passé devant, il semblait assez vide. hmmm.	['(RESTAURANT#MISCELLANEOUS, NEGATIVE)']	"['(RESTAURANT#MISCELLANEOUS, NEGATIVE, ""NULL"")']"	the last time i walked by it looked pretty empty. hmmm.
44	Cet endroit doit être le meilleur restaurant japonais de la région de New York.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""lieu"")']"	This place has got to be the best japanese restaurant in the new york area.
45	J'ai vécu une expérience formidable.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I had a great experience.
46	La nourriture est excellente.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Alimentation"")']"	Food is great.
47	Le service est de premier ordre.	['(SERVICE#GENERAL, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""Service"")']"	Service is top notch.
48	J'y suis retournée à plusieurs reprises.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I have been going back again and again.
49	J'ai tendance à juger un restaurant de sushis à l'aune de ses oursins, qui étaient divins chez sushi rose.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""oursin"")']"	I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.
50	Il a fondu dans ma petite bouche et sa consistance était parfaite - pas trop poissonneuse, crémeuse et légèrement beurrée.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""NULL"")']"	It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.
51	Les sushis semblaient assez frais et étaient bien proportionnés.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""sushi"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""sushi"")']"	The sushi seemed pretty fresh and was adequately proportioned.
52	Le ratio riz/poisson était également bon - ils n'ont pas essayé de surcharger le riz.	['(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#STYLE_OPTIONS, POSITIVE, ""ration riz-poisson"")']"	The rice to fish ration was also good--they didn't try to overpack the rice.
53	Nous avons profité de l'offre de sushis à moitié prix le samedi et cela en valait la peine.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Offre de sushis à moitié prix"")', '(FOOD#PRICES, POSITIVE, ""Offre de sushis à moitié prix"")']"	We took advanatage of the half price sushi deal on saturday so it was well worth it.
54	Etonnamment, rien n'est plus éloigné de la vérité.	['(RESTAURANT#MISCELLANEOUS, POSITIVE)']	"['(RESTAURANT#MISCELLANEOUS, POSITIVE, ""NULL"")']"	Surprisingly nothing could be further from the truth.
55	Le soir, ce lieu attirait une foule bien habillée, avec elle, NY.	['(RESTAURANT#MISCELLANEOUS, POSITIVE)']	"['(RESTAURANT#MISCELLANEOUS, POSITIVE, ""foule"")']"	In the evening, this place attracted a well dressed, with it, NY crowd.
56	La nourriture était bien préparée et le service impeccable.	['(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""nourriture"")', '(SERVICE#GENERAL, POSITIVE, ""service"")']"	The food was well prepared and the service impecable.
57	J'y retourne.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I'm going back.
58	C'est tout simplement comme si l'on sortait de Manhattan pour entrer dans un havre de tranquillité.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""NULL"")']"	Quite simply it's like stepping out of Manhattan and into a haven of tranquility.
59	Le menu Prix Fixe vaut chaque centime et vous en aurez plus qu'il n'en faut (en quantité ET en qualité).	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Menu Prix Fixe"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""Menu Prix Fixe"")', '(FOOD#PRICES, POSITIVE, ""Menu Prix Fixe"")']"	The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
60	J'y retournerai et je le recommande vivement !	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	I will be going back and heartily recommend it!
61	Il est formidable, tout comme son rapport qualité-prix.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""NULL"")', '(FOOD#PRICES, POSITIVE, ""NULL"")']"	It is terrific, as is the value.
62	6 $ et il y a beaucoup de nourriture savoureuse, fraîche et constamment renouvelée.	['(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(FOOD#STYLE_OPTIONS, POSITIVE, ""nourriture"")', '(FOOD#QUALITY, POSITIVE, ""nourriture"")', '(FOOD#PRICES, POSITIVE, ""nourriture"")']"	$6 and there is much tasty food, all of it fresh and continually refilled.
63	Je ne suis pas végétarienne, mais presque tous les plats étaient excellents.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""plats"")']"	I am not a vegetarian but, almost all the dishes were great.
64	Allez-y le ventre vide et profitez-en.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	Go hungry and enjoy.
65	La nourriture y est plutôt bonne, mais seulement si vous aimez attendre.	['(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""nourriture"")', '(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	The food here is rather good, but only if you like to wait for it.
66	J'aime les somosas, le chai et le chole, mais les dhosas et les dhal sont un peu décevants.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""somosas"")', '(FOOD#QUALITY, POSITIVE, ""chai"")', '(FOOD#QUALITY, POSITIVE, ""chole"")', '(FOOD#QUALITY, NEGATIVE, ""dhosas"")', '(FOOD#QUALITY, NEGATIVE, ""dhal"")']"	I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.
67	Le service varie d'un jour à l'autre - parfois ils sont très gentils, parfois non.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""service"")']"	The service varys from day to day- sometimes they're very nice, and sometimes not.
68	En revanche, la cuisine est presque toujours lente.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""cuisine"")']"	The kitchen however, is almost always slow.
69	Précisez également si vous aimez les plats épicés - si ce n'est pas le cas, ils sont plutôt fades.	['(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""nourriture"")']"	Also, specify if you like your food spicy- its rather bland if you don't.
70	L'ambiance est agréable et propice à la conversation. Un déjeuner décontracté serait sans doute la meilleure solution.	['(AMBIENCE#GENERAL, POSITIVE)', '(RESTAURANT#MISCELLANEOUS, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""ambiance"")', '(RESTAURANT#MISCELLANEOUS, POSITIVE, ""NULL"")']"	The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.
71	Si vous êtes déjà allé le long de la rivière à Weehawken, vous avez une idée du panorama qu'offre la maison de la carte.	['(LOCATION#GENERAL, POSITIVE)']	"['(LOCATION#GENERAL, POSITIVE, ""vue"")']"	If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.
72	Ajoutez à cela un excellent service et une bonne cuisine à un prix raisonnable et vous avez le début d'une belle soirée.	['(SERVICE#GENERAL, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#PRICES, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""service"")', '(FOOD#QUALITY, POSITIVE, ""nourriture"")', '(FOOD#PRICES, POSITIVE, ""nourriture"")']"	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
73	Le dessert à base de gâteau à la lave était incroyable et je le recommande.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""gâteau à la lave dessert"")']"	The lava cake dessert was incredible and I recommend it.
74	En entrant dans le Cosette, on se retrouve miraculeusement dans un petit bistrot parisien hors des sentiers battus.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""Cosette"")']"	Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.
75	Ce petit restaurant est tout ce qu'il y a de plus confortable, avec un certain cachet parisien.	['(AMBIENCE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""restaurant"")']"	This tiny restaurant is as cozy as it gets, with that certain Parisian flair.
76	La nourriture était moyenne à supérieure à la moyenne, la soupe à l'oignon française satisfaisante mais pas trop impressionnante, et les desserts n'étaient pas brillants du tout.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""nourriture"")', '(FOOD#QUALITY, NEGATIVE, ""Soupe à l\'oignon"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""Soupe à l\'oignon"")', '(FOOD#QUALITY, NEGATIVE, ""desserts"")']"	The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.
77	Cependant, optez pour l'ambiance et considérez la nourriture comme un simple compagnon de voyage à travers le monde !	['(AMBIENCE#GENERAL, POSITIVE)', '(FOOD#QUALITY, NEUTRAL)']	"['(AMBIENCE#GENERAL, POSITIVE, ""ambiance"")', '(FOOD#QUALITY, NEUTRAL, ""nourriture"")']"	However, go for the ambience, and consider the food just a companion for a trip across the world!
78	C'ÉTAIT HORRIBLE.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	IT WAS HORRIBLE.
79	La pizza a été livrée froide et le fromage n'était même pas complètement fondu !	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""pizza"")', '(FOOD#QUALITY, NEGATIVE, ""fromage"")']"	The pizza was delivered cold and the cheese wasn't even fully melted!
80	Il ressemblait à du fromage râpé partiellement cuit - encore en lanières.	['(FOOD#STYLE_OPTIONS, NEGATIVE)']	"['(FOOD#STYLE_OPTIONS, NEGATIVE, ""NULL"")']"	It looked like shredded cheese partly done - still in strips.
81	Ce restaurant doit être l'un des plus surestimés de Brooklyn.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	This has got to be one of the most overrated restaurants in Brooklyn.
82	Les pizzas sont hors de prix et détrempées.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#PRICES, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""pizza"")', '(FOOD#PRICES, NEGATIVE, ""pizza"")']"	The pizza is overpriced and soggy.
83	Oui, ils utilisent des ingrédients de qualité, mais même les ingrédients de qualité ne font pas une bonne pizza si l'on ne sait pas faire la bonne croûte.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, POSITIVE, ""ingrédients"")', '(FOOD#QUALITY, NEGATIVE, ""pizza"")', '(FOOD#QUALITY, NEGATIVE, ""croûte"")']"	Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.
84	Une grande déception sur toute la ligne.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	A big disappointment, all around.
85	Je pense que j'ai pris certains des meilleurs repas de ma vie au Minnow.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""repas"")']"	I think I've had some the best meals of my life at minnow.
86	Les fruits de mer sont incroyables, la carte des vins est excellente et le menu, en constante évolution, réserve toujours de bonnes surprises.	['(FOOD#QUALITY, POSITIVE)', '(DRINKS#STYLE_OPTIONS, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""fruits de mer"")', '(DRINKS#STYLE_OPTIONS, POSITIVE, ""carte des vins"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""menu"")']"	The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.
87	La combinaison d'ingrédients très frais dans les plats est inhabituelle mais vraiment délicieuse.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""ingrédients"")']"	The combination of super-fresh ingredients in the dishes are unusual but really delicious.
88	Le voyage depuis Manhattan en vaut la peine.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	Worth the trip from Manhattan.
89	Le meilleur Pastrami que j'ai jamais mangé et une grande portion sans être ridicule.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Pastrami"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""partie"")']"	Best Pastrami I ever had and great portion without being ridiculous.
90	Ma femme a pris les crevettes frites qui sont énormes et a adoré.	['(FOOD#STYLE_OPTIONS, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']	"['(FOOD#STYLE_OPTIONS, POSITIVE, ""crevettes frites"")', '(FOOD#QUALITY, POSITIVE, ""crevettes frites"")']"	My wife had the fried shrimp which are huge and loved it.
91	Originaire du Japon, je vis dans la région de Tristate depuis plus de 8 ans, mais j'ai été très impressionnée par cet endroit.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""lieu"")']"	As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.
92	Cet endroit est le plus japonais qui soit.	['(RESTAURANT#MISCELLANEOUS, POSITIVE)']	"['(RESTAURANT#MISCELLANEOUS, POSITIVE, ""lieu"")']"	This place is the most Japanese it can ever get.
